Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Holiday/Promotion,Competitor Pricing,Seasonality,Retail Rent Index
1/1/2017,W001,PHO928,Household Essentials,North,1232,858,521,770.78,19.11,10,0,18.52,Summer,124.2627
1/1/2017,W001,PHO202,Homeware,West,1104,735,552,571.02,38.08,0,0,36.27,Autumn,122.0183
1/1/2017,W001,PDI298,DIY & Decorating,East,828,562,359,666.63,43.45,0,0,44.2,Summer,128.7101
1/1/2017,W001,PGA837,Gardening,North,526,338,220,404.69,9.51,0,0,9.26,Spring,124.6403
1/1/2017,W001,PPE604,Pet Supplies,West,808,596,466,588.92,46.74,10,0,41.62,Autumn,124.9196
1/1/2017,W001,PHE238,Health & Beauty,West,756,443,324,405.15,21.66,20,0,21.65,Autumn,126.957
1/1/2017,W001,PST266,Stationery & Office Supplies,South,742,591,324,544.17,17.61,0,0,15.12,Summer,125.6733
1/1/2017,W001,PTO589,Toys & Games,South,716,389,375,400.14,24.21,10,0,24.72,Winter,123.5031
1/1/2017,W001,PSE706,Seasonal Products,North,641,390,291,331.17,13.94,10,0,12.21,Winter,122.6609
1/1/2017,W002,PHO239,Household Essentials,North,961,756,459,898.8,39.33,0,0,36.1,Spring,124.2382
1/1/2017,W002,PHO739,Homeware,West,936,517,516,640.63,40.43,0,1,39.34,Autumn,124.4091
1/1/2017,W002,PDI855,DIY & Decorating,South,411,323,191,318.97,36.77,0,0,37.84,Winter,125.6163
1/1/2017,W002,PGA838,Gardening,East,844,623,341,582.12,16.12,0,0,16.81,Summer,127.8255
1/1/2017,W002,PPE488,Pet Supplies,North,475,375,271,381.46,40.49,0,0,42.06,Winter,129.3757
1/1/2017,W002,PHE267,Health & Beauty,South,422,272,208,245.08,16.87,20,1,17.56,Summer,120.5295
1/1/2017,W002,PST759,Stationery & Office Supplies,West,765,466,346,384.45,22.53,10,1,20.75,Winter,120.9214
1/1/2017,W002,PTO475,Toys & Games,South,484,330,213,387.77,29.7,10,0,29.6,Winter,128.0747
1/1/2017,W002,PSE904,Seasonal Products,Central,842,511,495,491.73,45.37,0,0,46.35,Winter,125.1226
1/1/2017,W003,PHO364,Household Essentials,North,1224,619,717,658.42,42.28,10,0,40.51,Spring,126.1094
1/1/2017,W003,PHO292,Homeware,South,1038,730,475,574.73,27.01,10,0,23.81,Autumn,123.422
1/1/2017,W003,PDI599,DIY & Decorating,West,574,367,309,345.35,29.12,0,0,27.81,Summer,128.102
1/1/2017,W003,PGA335,Gardening,North,559,432,261,481.66,11.62,10,1,10.24,Summer,125.6582
1/1/2017,W003,PPE710,Pet Supplies,South,711,426,417,529.53,20.09,10,0,19.45,Summer,129.2468
1/1/2017,W003,PHE897,Health & Beauty,West,478,369,234,374.25,34.54,10,1,29.83,Autumn,124.8273
1/1/2017,W003,PST793,Stationery & Office Supplies,South,473,351,213,379.14,9.62,0,1,8.22,Spring,123.4898
1/1/2017,W003,PTO183,Toys & Games,North,883,453,391,432.16,22.22,20,0,19.47,Autumn,120.5942
1/1/2017,W003,PSE450,Seasonal Products,West,639,396,283,349.34,8.71,0,0,8.43,Autumn,125.4195
1/1/2017,W004,PHO174,Household Essentials,East,1112,785,453,818.62,5.14,0,0,4.64,Summer,126.3255
1/1/2017,W004,PHO951,Homeware,East,966,663,579,824.4,20.92,20,0,19.89,Summer,126.77
1/1/2017,W004,PDI834,DIY & Decorating,South,578,416,276,484.44,27.03,0,0,27.69,Spring,126.4697
1/1/2017,W004,PGA668,Gardening,West,589,427,285,320.87,32.54,0,0,33.86,Summer,124.596
1/1/2017,W004,PPE111,Pet Supplies,East,892,544,436,662.42,34.66,10,0,35.53,Autumn,121.936
1/1/2017,W004,PHE105,Health & Beauty,East,697,479,391,409.96,11.14,0,0,11.38,Winter,122.262
1/1/2017,W004,PST564,Stationery & Office Supplies,North,808,639,355,729.05,6.99,10,0,6.11,Summer,124.7669
1/1/2017,W004,PTO646,Toys & Games,South,671,365,368,273.95,33.43,0,1,31.72,Winter,122.9241
1/1/2017,W004,PSE591,Seasonal Products,South,591,344,262,408.33,49.39,10,1,50.05,Summer,128.2858
1/1/2017,W005,PHO658,Household Essentials,North,1007,520,583,590.04,33.05,10,0,30.71,Winter,127.0659
1/1/2017,W005,PHO994,Homeware,South,966,483,449,444.35,36.79,0,0,36.43,Spring,123.7819
1/1/2017,W005,PDI627,DIY & Decorating,West,532,374,278,335.48,42.66,0,0,40.97,Summer,121.9088
1/1/2017,W005,PGA284,Gardening,North,549,308,323,234.76,20,0,1,17.09,Summer,123.8062
1/1/2017,W005,PPE941,Pet Supplies,Central,446,319,225,306.65,36.15,0,0,37.76,Autumn,121.073
1/1/2017,W005,PHE942,Health & Beauty,South,852,482,410,466.08,38.01,0,0,37.01,Summer,126.7865
1/1/2017,W005,PST897,Stationery & Office Supplies,West,633,338,290,296.54,40.15,0,1,35.57,Summer,127.1509
1/1/2017,W005,PTO593,Toys & Games,South,675,478,320,523.83,21.54,10,0,18.62,Summer,124.0613
1/1/2017,W005,PSE678,Seasonal Products,North,855,520,510,450.29,14.99,0,0,14.89,Winter,123.7413
2/1/2017,W001,PHO717,Household Essentials,North,1148,805,570,807.79,34.76,0,0,35.21,Summer,122.1368
2/1/2017,W001,PHO639,Homeware,North,1221,941,637,724.05,32.55,10,0,28.25,Spring,124.8088
2/1/2017,W001,PDI264,DIY & Decorating,East,841,515,421,397.13,49.81,0,0,45.92,Spring,121.6709
2/1/2017,W001,PGA353,Gardening,East,506,339,268,273.83,26.42,20,0,24.34,Winter,126.1232
2/1/2017,W001,PPE219,Pet Supplies,North,612,319,313,303.07,41.29,0,0,35.55,Spring,127.923
2/1/2017,W001,PHE256,Health & Beauty,West,518,329,281,389.48,39.95,0,0,35.89,Autumn,127.2451
2/1/2017,W001,PST280,Stationery & Office Supplies,West,741,474,317,397.71,21.99,0,0,19.62,Winter,124.4543
2/1/2017,W001,PTO625,Toys & Games,Central,810,524,339,633.64,35.09,10,1,31.56,Autumn,122.6276
2/1/2017,W001,PSE265,Seasonal Products,East,602,382,271,394.66,9.34,0,0,9.58,Summer,122.9048
2/1/2017,W002,PHO327,Household Essentials,West,1017,546,539,671.97,13.68,10,0,14.12,Autumn,124.2679
2/1/2017,W002,PHO196,Homeware,East,1040,633,466,528.13,37.78,0,0,33.19,Summer,122.2685
2/1/2017,W002,PDI290,DIY & Decorating,East,737,474,441,530.18,43.29,0,0,37.65,Spring,128.7195
2/1/2017,W002,PGA562,Gardening,West,880,602,392,595.78,7.3,10,0,7.2,Winter,121.0309
2/1/2017,W002,PPE279,Pet Supplies,Central,607,380,264,304.81,16.8,0,0,16.77,Summer,124.0349
2/1/2017,W002,PHE946,Health & Beauty,Central,537,270,293,203.44,44.26,10,1,38.12,Spring,128.1807
2/1/2017,W002,PST729,Stationery & Office Supplies,South,710,547,293,657.91,37.8,0,0,37.95,Summer,126.0771
2/1/2017,W002,PTO589,Toys & Games,West,614,349,331,273.19,27.44,10,0,25.16,Summer,122.2067
2/1/2017,W002,PSE826,Seasonal Products,Central,808,483,368,504.77,44.85,0,0,43.84,Winter,121.2259
2/1/2017,W003,PHO353,Household Essentials,North,955,638,444,682.63,18.77,0,0,17.5,Summer,122.5104
2/1/2017,W003,PHO106,Homeware,North,1229,703,530,744.14,31.95,10,1,30.9,Winter,122.6104
2/1/2017,W003,PDI201,DIY & Decorating,North,828,441,484,436.38,39.4,0,0,36.32,Summer,124.7153
2/1/2017,W003,PGA535,Gardening,East,555,346,277,392.66,33.64,0,0,34.26,Summer,121.2708
2/1/2017,W003,PPE176,Pet Supplies,West,502,400,265,405.76,21.43,10,0,19.05,Spring,124.1425
2/1/2017,W003,PHE438,Health & Beauty,North,484,251,274,265.72,12.95,10,0,13.1,Winter,121.591
2/1/2017,W003,PST770,Stationery & Office Supplies,West,515,343,296,259.96,8.01,0,0,7.07,Winter,121.0442
2/1/2017,W003,PTO103,Toys & Games,South,656,471,287,415.02,15.96,0,1,14.04,Winter,124.6471
2/1/2017,W003,PSE320,Seasonal Products,Central,571,387,327,451.57,24.19,0,0,23.69,Winter,122.0714
2/1/2017,W004,PHO207,Household Essentials,North,1141,897,652,976.66,14.02,0,0,12.12,Summer,128.3798
2/1/2017,W004,PHO122,Homeware,Central,1068,824,538,990.63,45.57,0,0,40.53,Spring,125.213
2/1/2017,W004,PDI956,DIY & Decorating,West,835,436,427,431.11,14.69,0,0,12.52,Winter,125.4047
2/1/2017,W004,PGA344,Gardening,Central,705,399,313,419.84,45.33,10,0,44.62,Winter,122.9477
2/1/2017,W004,PPE505,Pet Supplies,North,830,463,481,509.16,40.56,0,0,35.48,Autumn,125.2821
2/1/2017,W004,PHE748,Health & Beauty,South,477,316,209,337.37,6.94,0,1,7.28,Summer,122.8579
2/1/2017,W004,PST496,Stationery & Office Supplies,South,840,499,427,535.08,38.13,0,1,33.84,Summer,126.5156
2/1/2017,W004,PTO624,Toys & Games,South,471,344,199,344.43,46.51,20,1,43.63,Spring,125.4892
2/1/2017,W004,PSE554,Seasonal Products,East,798,572,350,565.29,10.27,10,1,9.82,Spring,124.6468
2/1/2017,W005,PHO195,Household Essentials,West,1218,921,697,797.89,9.27,0,0,9.69,Spring,126.1827
2/1/2017,W005,PHO649,Homeware,West,1286,929,655,1058.68,23.5,10,1,20.41,Winter,120.2725
2/1/2017,W005,PDI780,DIY & Decorating,West,610,451,260,378.07,26.48,0,0,24.6,Spring,123.5797
2/1/2017,W005,PGA891,Gardening,South,638,405,331,357.62,39.54,10,1,34.39,Summer,128.037
2/1/2017,W005,PPE679,Pet Supplies,North,656,507,353,477.05,15.74,0,0,13.6,Autumn,123.1374
2/1/2017,W005,PHE564,Health & Beauty,South,873,460,452,556.41,47.74,20,0,48.66,Autumn,123.4393
